Machine_Center_No,Row_Count,Total_Quantity,First_Posting_Date,Last_Posting_Date,Top_Prod_Line_No,Top_Prod_Line_Description,Top_Item_Category,Unique_Item_Count,Unique_Document_Count
ILLIG2,116,25896000.0,2026-02-13,2026-05-12,THERMO ILLIG-2,THERMO ILLIG-2,SFG-PUTIH,7,14
OMSO2 OZ,141,15577000.0,2026-02-13,2026-05-11,OMSO-2-OZ,OMSO 2-OZ,JADI-PRINTING,19,27
NEWDO 1 REG,95,14993925.0,2026-02-14,2026-03-31,NEWDO-1,NEWDO-1,JADI-PRINTING,6,8
NEWDO 2 REG,87,14697125.0,2026-02-13,2026-05-11,NEWDO-2,NEWDO-2,JADI-PRINTING,10,13
HENGFENG 4 OZ,61,14413200.0,2026-02-17,2026-05-09,THERMO HENGFENG-4,THERMO HENGFENG-4,JADI-NAT/PUTIH,7,10
OMSO1 OZ,130,13157300.0,2026-02-13,2026-05-11,OMSO-1-OZ,OMSO 1-OZ,JADI-PRINTING,21,29
HENGFENG 1 OZ,122,11760000.0,2026-02-13,2026-04-28,THERMO HENGFENG-1-OZ,THERMO HENGFENG-1-OZ,JADI-NAT/PUTIH,11,16
HENGFENG 2 OZ,110,11415000.0,2026-02-14,2026-05-12,THERMO HENGFENG-2-OZ,THERMO HENGFENG-2-OZ,JADI-NAT/PUTIH,6,12
ILLIG3,51,10910200.0,2026-02-23,2026-03-10,THERMO ILLIG-3,THERMO ILLIG-3,SFG-PUTIH,2,3
HENGFENG 2 22OZ-12GR,124,10126000.0,2026-02-26,2026-05-09,THERMO HENGFENG-2-OZ,THERMO HENGFENG-2-OZ,JADI-NAT/PUTIH,4,11
CAI 2 REG,50,8312100.0,2026-02-13,2026-05-04,CAI-2,CAI-2,JADI-PRINTING,2,5
BORCHE1PF19,134,8284160.0,2026-02-13,2026-04-10,BRH1-PF19,BORCH 1 PREFORM 19 GR,SFG-PREFORM,7,10
"BRH2-11,5",98,7047312.0,2026-04-03,2026-05-10,BRH2-PF19,BORCH 2 PREFORM 19 GR,SFG-PREFORM,3,6
CAI 1 REG,45,6457825.0,2026-02-24,2026-03-10,CAI-1,CAI-1,JADI-PRINTING,4,5
POLY 1 22OZ,75,6280000.0,2026-02-13,2026-05-11,POLYPRINT-1-OZ,POLYPRINT PRINTING-OZ,JADI-PRINTING,7,13
POLY 2 22OZ,54,4734000.0,2026-02-18,2026-05-08,POLYPRINT-2-OZ,POLYPRINT PRINTING-OZ-2,JADI-PRINTING,5,6
CP1-20,123,4677309.0,2026-02-13,2026-04-19,CP1-600,CHUM POWER 1 BOTOL 600 ML,JADI-BOTOL,1,3
BRH2-23,80,3944128.0,2026-02-13,2026-04-10,BRH2-27.5,BORCH 2 PREFORM 27.5 GR,SFG-PREFORM,9,11
LS1-24.5/27.5,111,3734394.0,2026-02-13,2026-05-11,LS1-1500,LONGSUN 1 BOTOL 1500 ML,JADI-BOTOL,2,8
ILLIG1,22,3564000.0,2026-02-26,2026-03-02,THERMO ILLIG-1,THERMO ILLIG-1,SFG-PUTIH,3,4
HENGFENG 3 OZ,33,3167000.0,2026-02-13,2026-02-26,THERMO HENGFENG-3,THERMO HENGFENG-3,JADI-NAT/PUTIH,5,5
VFINE-BT400,209,2807207.0,2026-02-13,2026-05-11,VFINE-BT1500,VFINE BOTOL 1500 ML,JADI-BOTOL,11,20
OMSO1 22 OZ,29,2736000.0,2026-02-14,2026-04-28,OMSO-1-OZ,OMSO 1-OZ,JADI-PRINTING,8,8
POLY 2 OZ,44,2729000.0,2026-02-13,2026-04-28,POLYPRINT-2-OZ,POLYPRINT PRINTING-OZ-2,JADI-PRINTING,14,15
POLY 1 OZ,36,2710750.0,2026-02-16,2026-05-11,POLYPRINT-1-OZ,POLYPRINT PRINTING-OZ,JADI-PRINTING,6,11
OMSO2 22 OZ,31,2347300.0,2026-02-20,2026-05-07,OMSO-2-OZ,OMSO 2-OZ,JADI-PRINTING,10,10
LS1-19.3,69,2091937.0,2026-02-22,2026-05-04,LS1-600,LONGSUN 1 BOTOL 600 ML,JADI-BOTOL,3,6
CP1-9.7/12.5/14,53,1717511.0,2026-03-05,2026-05-11,CP1-600,CHUM POWER 1 BOTOL 600 ML,JADI-BOTOL,5,6
HENGFENG 3 22OZ-12GR,11,1283000.0,2026-04-15,2026-05-12,THERMO HENGFENG-3,THERMO HENGFENG-3,JADI-NAT/PUTIH,1,2
BORCHE1PF25.8,18,1161600.0,2026-04-17,2026-05-09,BRH1-23,BORCH 1 PREFORM 23 GR,SFG-PREFORM,2,2
BORCHE1PF27.5,20,1130208.0,2026-02-26,2026-04-30,BRH1-27.5,BORCH 1 PREFORM 27.5 GR,SFG-PREFORM,2,2
(blank),3324,1121209.4,2026-02-13,2026-05-11,THERMO HENGFENG-4,THERMO HENGFENG-4,JADI-NAT/PUTIH,67,377
BORCHE1PF42.3,33,1029668.0,2026-04-21,2026-05-12,BRH1-42.3,BORCH 1 PREFORM 42.3 GR,SFG-PREFORM,2,3
"BRH2-42,3",15,547920.0,2026-03-01,2026-03-05,BRH2-42.3,BORCH 2 PREFORM 42.3 GR,SFG-PREFORM,1,1
LS1-25.8/42.3KALE,30,464714.0,2026-02-23,2026-05-07,LS1-1000,LONGSUN 1 BOTOL 1000 ML,JADI-BOTOL,5,7
BRH2-25.8,7,361200.0,2026-04-08,2026-04-10,BRH2-27.5,BORCH 2 PREFORM 27.5 GR,SFG-PREFORM,1,1
CP1-24.5/27.5,13,300013.0,2026-04-22,2026-05-10,CP1-600,CHUM POWER 1 BOTOL 600 ML,JADI-BOTOL,2,2
