Posting_Date,Document_Date,Entry_Type,Document_Type,Document_No,Document_Line_No,External_Document_No,Item_No,gProdOrRotLine_No,gItem_Description,Variant_Code,Description,Return_Reason_Code,Global_Dimension_1_Code,Global_Dimension_2_Code,Expiration_Date,Serial_No,Lot_No,Location_Code,Quantity,Unit_of_Measure_Code,Invoiced_Quantity,Remaining_Quantity,Shipped_Qty_Not_Returned,Reserved_Quantity,Qty_per_Unit_of_Measure,Completely_Invoiced,Open,Item_Category_Code,Source_Type,Source_No,gSrcDesc,Drop_Shipment,Assemble_to_Order,Applied_Entry_to_Adjust,Order_Type,Order_No,Order_Line_No,Prod_Order_Comp_Line_No,Entry_No,Job_No,Job_Task_No,Blanket_Order_No,Bahan_Type,Color,Gramasi,Width,Length,Weight,Gross_Weight,Is_Intercompany,gProdOrRotLine_Description,gSatKecil,gIsi,Machine_Center_No,dimcode,divcode,divname
2026-02-13,2026-02-13,Output, ,SPK2602/B0002,0,S1/8/HADI,BT0600PR20F,VFINE-BT600,BOTOL 600 ML-20 (273) PRISTINE,,BOTOL 600 ML-20 (273) PRISTINE,,,,0001-01-01,,260213,JADI,12012,PCS,12012,0,0,0,1,True,False,JADI-BOTOL,Item,BT0600PR20F,BOTOL 600 ML-20 (273) PRISTINE,False,False,False,Production,SPK2602/B0002,10000,0,672970,,,,PET,,0,0,0,0,0.0193,False,VFINE BOTOL 600 ML,,0,VFINE-BT400,,,
2026-02-13,2026-02-13,Output, ,SPK2602/B0006,0,S1/8/HERU,BT0600PR20F,CP1-600,BOTOL 600 ML-20 (273) PRISTINE,,BOTOL 600 ML-20 (273) PRISTINE,,,,0001-01-01,,260213,JADI,34944,PCS,34944,0,0,0,1,True,False,JADI-BOTOL,Item,BT0600PR20F,BOTOL 600 ML-20 (273) PRISTINE,False,False,False,Production,SPK2602/B0006,10000,0,672971,,,,PET,,0,0,0,0,0.0193,False,CHUM POWER 1 BOTOL 600 ML,,0,CP1-20,,,
2026-02-13,2026-02-13,Output, ,SPK2602/B0004,0,S1/8/A. YUSUF,BT15CLSLG,LS1-1500,BOTOL 1500ML-27.5 CLASSIC @ 72,,BOTOL 1500ML-27.5 CLASSIC @ 72,,,,0001-01-01,,260213,JADI,37152,PCS,37152,0,0,0,1,True,False,JADI-BOTOL,Item,BT15CLSLG,BOTOL 1500ML-27.5 CLASSIC @ 72,False,False,False,Production,SPK2602/B0004,10000,0,672972,,,,PET,,0,0,0,0,0.0275,False,LONGSUN 1 BOTOL 1500 ML,PCS,72,LS1-24.5/27.5,,,
2026-02-13,2026-02-13,Output, ,SPK2602/P0032,0,S1/8/DENDI A,CR14OZ9KKQR,OMSO-2-OZ,CUP 14 OZ KOPI KENANGAN 9G-2000 NEW QR,,CUP 14 OZ KOPI KENANGAN 9G-2000 NEW QR,,,,0001-01-01,,260213,JADI,150000,PCS,150000,0,0,0,1,True,False,JADI-PRINTING,Item,CR14OZ9KKQR,CUP 14 OZ KOPI KENANGAN 9G-2000 NEW QR,False,False,False,Production,SPK2602/P0032,10000,0,672973,,,,PP,,0,0,0,0,0.009,False,OMSO 2-OZ,PCS,2000,OMSO2 OZ,,,
2026-02-13,2026-02-13,Output, ,SPK2602/P0002,0,S1/8/SURYA,CR240TAB5.2,CAI-2,CUP TORPEDO ANEKA BUAH 240 ML XL 5.2GR-2100,,CUP TORPEDO ANEKA BUAH 240 ML XL 5.2GR-2100,,,,0001-01-01,,26021341,JADI,170100,PCS,170100,0,0,0,1,True,False,JADI-PRINTING,Item,CR240TAB5.2,CUP TORPEDO ANEKA BUAH 240 ML XL 5.2GR-2100,False,False,False,Production,SPK2602/P0002,10000,0,672974,,,,PP,,0,0,0,0,0.0052,False,CAI-2,PCS,2100,CAI 2 REG,,,
2026-02-13,2026-02-13,Output, ,SPK2602/P0033,0,S1/8/ARIS P,CR22OZTFMCP,POLYPRINT-1-OZ,CUP 22 OZ OVAL TINGGI FAMILY MART CF QR25 11G-1000,,CUP 22 OZ OVAL TINGGI FAMILY MART CF QR25 11G-1000,,,,0001-01-01,,260213,JADI,102000,PCS,102000,0,0,0,1,True,False,JADI-PRINTING,Item,CR22OZTFMCP,CUP 22 OZ OVAL TINGGI FAMILY MART CF QR25 11G-1000,False,False,False,Production,SPK2602/P0033,10000,0,672975,,,,PP,,0,0,0,0,0.011,False,POLYPRINT PRINTING-OZ,PCS,1000,POLY 1 22OZ,,,
2026-02-13,2026-02-13,Output, ,SPK2602/P0040,0,S1/8/YANUAR,CR16OZRC7,POLYPRINT-2-OZ,CUP 16 OZ RICHEESE 7G-1000 ND,,CUP 16 OZ RICHEESE 7G-1000 ND,,,,0001-01-01,,260213,JADI,118000,PCS,118000,0,0,0,1,True,False,JADI-PRINTING,Item,CR16OZRC7,CUP 16 OZ RICHEESE 7G-1000 ND,False,False,False,Production,SPK2602/P0040,10000,0,672976,,,,PP,,0,0,0,0,0.007,False,POLYPRINT PRINTING-OZ-2,PCS,1000,POLY 2 OZ,,,
2026-02-13,2026-02-13,Output, ,SPK2602/P0041,0,S1/8/BUDIMAN,CR180GBAP-ND,NEWDO-2,CUP RIO GULA BATU 180ML 3.5-2400 APL 70.5(JT) ND,,CUP RIO GULA BATU 180ML 3.5-2400 APL 70.5(JT) ND,,,,0001-01-01,,260213,JADI,177600,PCS,177600,0,0,0,1,True,False,JADI-PRINTING,Item,CR180GBAP-ND,CUP RIO GULA BATU 180ML 3.5-2400 APL 70.5(JT) ND,False,False,False,Production,SPK2602/P0041,20000,0,672977,,,, ,,0,0,0,0,0.0035,False,NEWDO-2,PCS,2400,NEWDO 2 REG,,,
2026-02-13,2026-02-13,Output, ,SPK2602/P0042,0,S1/8/NANDAR,CR14OZJJST7,OMSO-1-OZ,CUP 12 OZ JJ SEJUTA JIWA 7 GR - 1000,,CUP 12 OZ JJ SEJUTA JIWA 7 GR - 1000,,,,0001-01-01,,260213,JADI,84000,PCS,84000,0,0,0,1,True,False,JADI-PRINTING,Item,CR14OZJJST7,CUP 12 OZ JJ SEJUTA JIWA 7 GR - 1000,False,False,False,Production,SPK2602/P0042,10000,0,672978,,,,PP,,0,0,0,0,0.007,False,OMSO 1-OZ,PCS,1000,OMSO1 OZ,,,
2026-02-13,2026-02-13,Output, ,SPK2602/C0003,0,S1/8/FAJAR,CN16OZ475RC,THERMO HENGFENG-1-OZ,CUP 16 OZ 475ML 7.0-1000 RC,,CUP 16 OZ 475ML 7.0-1000 RC,,,,0001-01-01,,260213,JADI,90000,PCS,90000,0,0,0,1,True,False,JADI-NAT/PUTIH,Item,CN16OZ475RC,CUP 16 OZ 475ML 7.0-1000 RC,False,False,False,Production,SPK2602/C0003,10000,0,673058,,,,PP,,0,0,0,0,0.007,False,THERMO HENGFENG-1-OZ,PCS,0,HENGFENG 1 OZ,,,
2026-02-13,2026-02-13,Output, ,SPK2602/C0012,0,S1/8/SARJAB,CN22OZ10,THERMO HENGFENG-3,CUP 22 OZ 10 GR @1000,,CUP 22 OZ 10 GR @1000,,,,0001-01-01,,260213,JADI,115000,PCS,115000,0,0,0,1,True,False,JADI-NAT/PUTIH,Item,CN22OZ10,CUP 22 OZ 10 GR @1000,False,False,False,Production,SPK2602/C0012,10000,0,673059,,,,PP,,0,0,0,0,0.01,False,THERMO HENGFENG-3,,0,HENGFENG 3 OZ,,,
2026-02-13,2026-02-13,Output, ,SPK2602/F0005,0,"S1/7,5/AULIO",PF192CL12,BRH1-PF19,PREFORM 19.2 GR CLEAR JB - 12000,,PREFORM 19.2 GR CLEAR JB - 12000,,,,0001-01-01,,260213,WIP,48000,PCS,48000,0,0,0,1,True,False,SFG-PREFORM,Item,PF192CL12,PREFORM 19.2 GR CLEAR JB - 12000,False,False,False,Production,SPK2602/F0005,10000,0,673060,,,,PET,,0,0,0,0,0.0192,False,BORCH 1 PREFORM 19 GR,PCS,0,BORCHE1PF19,,,
2026-02-13,2026-02-13,Output, ,SPK2602/F0002,0,S1/8/JOHAN,PF27CLJB82,BRH2-27.5,PREFORM 27.5 GR CLEAR JB - 8400,,PREFORM 27.5 GR CLEAR JB - 8400,,,,0001-01-01,,260213,WIP,67200,PCS,67200,0,0,0,1,True,False,SFG-PREFORM,Item,PF27CLJB82,PREFORM 27.5 GR CLEAR JB - 8400,False,False,False,Production,SPK2602/F0002,10000,0,673061,,,,PET,,0,0,0,0,0.0275,False,BORCH 2 PREFORM 27.5 GR,,0,BRH2-23,,,
