area_kerja_line,kode_asli_sistem,kode_asli_normalized,display_laporan,deskripsi_produk,target_botol_preform,target_thermoforming,target_thermoforming_gw_gt_12,target_printing_non_oz,target_printing_oz_lt_20,target_printing_22_oz,active_target_type,active_target,target_achievement_rate,target_reject_rate
INJECTION,BORCH 1 PREFORM 42.3 GR,BORCH 1 PREFORM 42.3 GR,Borche 1,Preform 42.3 gram,103680,,,,,,target_botol_preform,103680,0.9,0.03
INJECTION,BORCH 1 PREFORM 27.5 GR,BORCH 1 PREFORM 27.5 GR,Borche 1,Preform 27.5 gram,218274,,,,,,target_botol_preform,218274,0.9,0.03
INJECTION,BORCH 1 PREFORM 23 GR,BORCH 1 PREFORM 23 GR,Borche 1,Preform 23.0 gram,218274,,,,,,target_botol_preform,218274,0.9,0.03
INJECTION,BORCH 1 PREFORM 19 GR,BORCH 1 PREFORM 19 GR,Borche 1,Preform 19.0 / 19.1 gram,218274,,,,,,target_botol_preform,218274,0.9,0.03
INJECTION,BORCH 2 PREFORM 42.3 GR,BORCH 2 PREFORM 42.3 GR,Borche 2,Preform 42.3 gram,103680,,,,,,target_botol_preform,103680,0.9,0.03
INJECTION,BORCH 2 PREFORM 27.5 GR,BORCH 2 PREFORM 27.5 GR,Borche 2,Preform 27.5 gram,218274,,,,,,target_botol_preform,218274,0.9,0.03
INJECTION,BORCH 2 PREFORM 25.8 GR,BORCH 2 PREFORM 25.8 GR,Borche 2,Preform 25.8 gram,129600,,,,,,target_botol_preform,129600,0.9,0.03
INJECTION,BORCH 2 PREFORM 23 GR,BORCH 2 PREFORM 23 GR,Borche 2,Preform 23.0 gram,218274,,,,,,target_botol_preform,218274,0.9,0.03
INJECTION,BORCH 2 PREFORM 19 GR,BORCH 2 PREFORM 19 GR,Borche 2,Preform 19.0 / 19.1 gram,218274,,,,,,target_botol_preform,218274,0.9,0.03
INJECTION,BORCH 2 PREFORM 11.5 GR,BORCH 2 PREFORM 11.5 GR,Borche 2,Preform 11.5 gram,276480,,,,,,target_botol_preform,276480,0.9,0.03
